Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,Ausländische Verurteilte in Deutschland nach Straftaten 2023,,,
,Anzahl der ausländischen gerichtlich Verurteilten in Deutschland nach Straftaten im Jahr 2023,,,
,,,,
,Straftaten im Straßenverkehr (nach StGB und StVG),"61,359",,
,Diebstahl und Unterschlagung,"54,849",,
,Straftaten nach anderen Bundes- und Landesgesetzen,"45,156",,
,Betrug und Untreue,"31,262",,
,Straftaten gegen die körperliche Unversehrtheit,"18,887",,
,Urkundenfälschung,"12,603",,
,"Straftaten gegen den Staat, die öffentliche Ordnung und im Amt","8,355",,
,Beleidigung,"5,891",,
,Straftaten gegen die persönliche Freiheit,"4,623",,
,Sonstige Straftaten gegen das Vermögen,"3,501",,
,Straftaten gegen die sexuelle Selbstbestimmung,"3,214",,
,"Raub und Erpressung, räuber. Angriff auf Kraftfahrer","2,525",,
,Begünstigung und Hehlerei,"1,873",,
,Gemeingefährliche Straftaten,550,,
,Sonstige Straftaten gegen die Person,448,,
,Straftaten gegen die Umwelt,308,,
,Straftaten gegen das Leben,265,,
,,,,
,Statistik als Exceldatei,,,
,Anzahl der ausländischen gerichtlich Verurteilten in Deutschland nach Straftaten im Jahr 2023,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,, Im Jahr 2023 wurden in Deutschland rund 61.400 Ausländer wegen Straftaten im Straßenverkehr gerichtlich verurteilt. Damit war dies die häufigste Straftat von Ausländern; gefolgt von Diebstahl und Unterschlagung mit circa 54.800 Verurteilten. Insgesamt wurden etwa 256.000 Ausländer verurteilt. 
,Quelle,Statistisches Bundesamt,,
,Erhebung durch,Statistisches Bundesamt,,
,Erhebungszeitraum,2023,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,n.a.,,
,Hinweis,n.a.,,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Statistisches Bundesamt,,
,Veröffentlichungsdatum,Januar 2025,,
,Herkunftsverweis,"Statistischer Bericht Strafverfolgung 2023, 24311-46",,
,ID,1617282,,
