Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,Ausländische Verurteilte in Deutschland nach Staatsangehörigkeiten 2023,,,
,Anzahl der ausländischen gerichtlich Verurteilten in Deutschland nach ausgewählten Staatsangehörigkeiten im Jahr 2023,,,
,,,,
,Rumänien,"25,998",,
,Türkei,"23,789",,
,Polen,"21,693",,
,Ukraine,"8,784",,
,Italien,"7,145",,
,Serbien,"6,843",,
,Irak,"5,595",,
,,,,
,Statistik als Exceldatei,,,
,Anzahl der ausländischen gerichtlich Verurteilten in Deutschland nach ausgewählten Staatsangehörigkeiten im Jahr 2023,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,, Im Jahr 2023 wurden in Deutschland rund 26.000 rumänische Staatsangehörige gerichtlich verurteilt. Damit waren Rumänen die größte ausgewiesene Gruppe unter den ausländischen Verurteilten; gefolgt von Türken mit circa 23.800.* Insgesamt wurden etwa 256.000 Ausländer verurteilt. 
,Quelle,Statistisches Bundesamt,,
,Erhebung durch,Statistisches Bundesamt,,
,Erhebungszeitraum,2023,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,n.a.,,
,Hinweis," * Die Quelle weist nicht alle Staatsangehörigkeiten einzeln aus; daher besteht kein Anspruch auf Vollständigkeit. 
 Bei doppelter Staatsangehörigkeit wird laut Quelle nur die deutsche gezählt. Die jeweils andere wird nicht berücksichtigt, d.h. deutsche Doppelstaatler gehen nicht in diese Statistik ein. Hingegen gehen auch nicht in Deutschland wohnhafte Ausländer in die Statistik ein, sofern die Straftat hier begangen wurde. ",,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Statistisches Bundesamt,,
,Veröffentlichungsdatum,Januar 2025,,
,Herkunftsverweis,"Statistischer Bericht Strafverfolgung 2023, 24311-49",,
,ID,1617291,,
